240876,Cornus kousa,"dogwood, Kousa",-76.65198367,39.31600252
240877,Zelkova serrata,"zelkova, Japanese",-76.65503128,39.31581858
240878,Ulmus parvifolia,"elm, Chinese",-76.65685015,39.31903488
240805,Platanus x acerifolia,"planetree, London",-76.65698378,39.3187558
240807,Pyrus calleryana,"pear, callery",-76.66202186,39.32116207
240808,Pinus nigra,"pine, Austrian",-76.66277197,39.32137665
240811,Prunus spp.,"cherry/plum, spp.",-76.66121359,39.32126112
240812,Fraxinus pennsylvanica,"ash, green",-76.66211273,39.3213582
240814,Styphnolobium japonicum,Japanese pagodatree,-76.66050483,39.32085513
240815,Platanus x acerifolia,"planetree, London",-76.65747207,39.31988574
240816,Cladrastis kentukea,yellowwood,-76.6572762,39.31997144
240822,Acer saccharum,"maple, sugar",-76.65935734,39.31848792
240827,Quercus macrocarpa,"oak, bur",-76.65957268,39.31831057
240829,Liquidambar styraciflua,"sweetgum, American",-76.66017163,39.31896645
240832,Zelkova serrata,"zelkova, Japanese",-76.65518459,39.31585774
240833,Platanus x acerifolia,"planetree, London",-76.65184534,39.31606486
240834,Ginkgo biloba,ginkgo,-76.65841669,39.31803312
240835,Ulmus parvifolia,"elm, Chinese",-76.65674248,39.31907074
240838,Tilia cordata,"linden, littleleaf",-76.65898355,39.31607203
240839,Quercus rubra,"oak, northern red",-76.65924809,39.31711354
240840,Styphnolobium japonicum,Japanese pagodatree,-76.65731612,39.31874334
240841,Acer rubrum,"maple, red",-76.6591718,39.31709643
240843,Quercus rubra,"oak, northern red",-76.65843202,39.31787342
240844,Acer rubrum,"maple, red",-76.65817033,39.31838037
240845,Ulmus parvifolia,"elm, Chinese",-76.6565168,39.31906549
240848,Zelkova serrata,"zelkova, Japanese",-76.65891041,39.31724874
240849,Platanus x acerifolia,"planetree, London",-76.65685971,39.31881262
240850,Picea abies,"spruce, Norway",-76.66019363,39.32058398
240879,Ginkgo biloba,ginkgo,-76.65848871,39.31795479
240880,Zelkova serrata,"zelkova, Japanese",-76.65788548,39.31847001
240883,Acer rubrum,"maple, red",-76.659298,39.31704513
240884,Acer rubrum,"maple, red",-76.65908908,39.3171858
240885,Ulmus parvifolia,"elm, Chinese",-76.65720631,39.31879134
240886,Ginkgo biloba,ginkgo,-76.65832578,39.31799147
240888,Ulmus parvifolia,"elm, Chinese",-76.65641983,39.31909197
240889,Acer rubrum,"maple, red",-76.65821169,39.31834065
240891,Platanus x acerifolia,"planetree, London",-76.65912717,39.31661986
240892,Platanus x acerifolia,"planetree, London",-76.65672139,39.31887275
240894,Pyrus calleryana,"pear, callery",-76.6622429,39.32124316
240895,Pyrus calleryana,"pear, callery",-76.6614828,39.32098501
240897,Pyrus calleryana,"pear, callery",-76.66293098,39.32143567
240898,Styphnolobium japonicum,Japanese pagodatree,-76.6607822,39.32094725
240900,Fraxinus pennsylvanica,"ash, green",-76.66184035,39.32127822
240902,Ulmus rubra,"elm, slippery",-76.6593982,39.32065214
240903,Platanus x acerifolia,"planetree, London",-76.6602624,39.32078563
240904,Liquidambar styraciflua,"sweetgum, American",-76.65968891,39.31997786
240909,Acer saccharum,"maple, sugar",-76.65924397,39.31867712
240913,Platanus x acerifolia,"planetree, London",-76.65986645,39.31789519
240917,Zelkova serrata,"zelkova, Japanese",-76.65819146,39.31593415
240918,Cornus kousa,"dogwood, Kousa",-76.65231166,39.31586185
240921,Styphnolobium japonicum,Japanese pagodatree,-76.65695639,39.31899627
240922,Zelkova serrata,"zelkova, Japanese",-76.65489581,39.31578382
240923,Tilia cordata,"linden, littleleaf",-76.65798887,39.31841374
240924,Tilia cordata,"linden, littleleaf",-76.6590734,39.31625683
240925,Ginkgo biloba,ginkgo,-76.65855787,39.31788638
240926,Ulmus americana,"elm, American",-76.65915611,39.31623532
240927,Acer rubrum,"maple, red",-76.65893008,39.31737722
240928,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.6582559,39.31806373
240929,Quercus rubra,"oak, northern red",-76.65933009,39.31695521
240930,Ulmus parvifolia,"elm, Chinese",-76.65708652,39.31884319
240933,Acer rubrum,"maple, red",-76.65920424,39.31733612
240934,Acer rubrum,"maple, red",-76.65829939,39.31826949
240936,Platanus x acerifolia,"planetree, London",-76.65659946,39.31891853
240938,Pyrus calleryana,"pear, callery",-76.66235698,39.32124757
240939,Pyrus calleryana,"pear, callery",-76.66160901,39.32100707
240941,Pyrus calleryana,"pear, callery",-76.66300799,39.32146711
240944,Pinus strobus,"pine, eastern white",-76.66288638,39.32175701
240945,Platanus x acerifolia,"planetree, London",-76.65915933,39.32043315
240946,Styphnolobium japonicum,Japanese pagodatree,-76.65806318,39.3200777
240947,Platanus x acerifolia,"planetree, London",-76.66012122,39.32073819
240948,Liquidambar styraciflua,"sweetgum, American",-76.65975451,39.31986698
240956,Acer rubrum,"maple, red",-76.65809028,39.31913939
240958,Acer rubrum,"maple, red",-76.65846319,39.31918131
240959,Styphnolobium japonicum,Japanese pagodatree,-76.65999836,39.31925551
240960,Acer rubrum,"maple, red",-76.6591142,39.31910629
240965,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.65804662,39.31836244
240966,Ulmus parvifolia,"elm, Chinese",-76.65707547,39.31894276
240967,Acer rubrum,"maple, red",-76.65916609,39.31646535
240968,Ulmus americana,"elm, American",-76.65407653,39.31562384
240971,Acer rubrum,"maple, red",-76.65819458,39.31812993
240972,Quercus rubra,"oak, northern red",-76.65876964,39.31752065
240973,Platanus x acerifolia,"planetree, London",-76.65933722,39.31685978
240974,Quercus rubra,"oak, northern red",-76.6569981,39.31888456
240977,Zelkova serrata,"zelkova, Japanese",-76.65877264,39.31585632
240978,Acer rubrum,"maple, red",-76.65840136,39.31817958
240979,Platanus x acerifolia,"planetree, London",-76.6564868,39.31894722
240980,Ulmus x,"elm, hybrid",-76.65916639,39.31672357
240981,Pyrus calleryana,"pear, callery",-76.66243471,39.32130163
240982,Platanus x acerifolia,"planetree, London",-76.6575756,39.31846399
240983,Pyrus calleryana,"pear, callery",-76.66169243,39.32106609
240985,Pyrus calleryana,"pear, callery",-76.66308428,39.3214809
240987,Fraxinus pennsylvanica,"ash, green",-76.66159007,39.32120596
240988,Pinus strobus,"pine, eastern white",-76.66281721,39.32174984
240989,Thuja spp.,arborvitae spp.,-76.6587094,39.32044584
240991,Populus deltoides,"cottonwood, eastern",-76.66000998,39.32084134
240992,Liquidambar styraciflua,"sweetgum, American",-76.65981226,39.3197721
240993,Styphnolobium japonicum,Japanese pagodatree,-76.65690592,39.31970536
241002,Acer rubrum,"maple, red",-76.65915769,39.31901693
241005,Styphnolobium japonicum,Japanese pagodatree,-76.65991209,39.31939838
241008,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.65812434,39.31830176
241011,Acer rubrum,"maple, red",-76.65726157,39.3188556
241012,Acer rubrum,"maple, red",-76.65921101,39.31657348
241013,Quercus rubra,"oak, northern red",-76.65871117,39.31771262
241070,Pyrus calleryana,"pear, callery",-76.66186927,39.32111243
241071,Platanus x acerifolia,"planetree, London",-76.65723549,39.31864272
241072,Pinus nigra,"pine, Austrian",-76.66313206,39.32150297
241075,Styphnolobium japonicum,Japanese pagodatree,-76.66131983,39.32112266
241076,Fraxinus pennsylvanica,"ash, green",-76.66240935,39.32144922
241077,Cladrastis kentukea,yellowwood,-76.65752362,39.32005363
241080,Prunus spp.,"cherry/plum, spp.",-76.65989426,39.31960992
241081,Styphnolobium japonicum,Japanese pagodatree,-76.65719399,39.31979748
241087,Acer rubrum,"maple, red",-76.65842041,39.31925633
241088,Acer saccharum,"maple, sugar",-76.66023224,39.31758461
241090,Acer rubrum,"maple, red",-76.65934736,39.31868568
241093,Styphnolobium japonicum,Japanese pagodatree,-76.65972313,39.31958758
241094,Ulmus parvifolia,"elm, Chinese",-76.65654211,39.31914079
241097,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.65825483,39.31818151
241098,Platanus x acerifolia,"planetree, London",-76.65166636,39.31616526
241100,Tilia cordata,"linden, littleleaf",-76.65927804,39.31681068
241101,Platanus x acerifolia,"planetree, London",-76.65903632,39.3173364
241103,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.65797568,39.31831473
241104,Ginkgo biloba,ginkgo,-76.65854967,39.31776089
241105,Styphnolobium japonicum,Japanese pagodatree,-76.65670718,39.31900261
241106,Platanus x acerifolia,"planetree, London",-76.6593087,39.31655748
241107,Acer platanoides,"maple, Norway",-76.65696388,39.31907377
241110,Platanus x acerifolia,"planetree, London",-76.65895462,39.31624088
241111,Ulmus x,"elm, hybrid",-76.6591122,39.31701705
241113,Platanus x acerifolia,"planetree, London",-76.65710072,39.31871057
242057,Robinia pseudoacacia,"locust, black",-76.6566388,39.32344612
242058,Robinia pseudoacacia,"locust, black",-76.65703881,39.32195129
242059,Prunus spp.,"cherry/plum, spp.",-76.6559714,39.32292486
242061,Acer platanoides,"maple, Norway",-76.65544874,39.32219785
242064,Prunus cerasifera,"plum, cherry",-76.65666162,39.32093467
242065,Acer platanoides,"maple, Norway",-76.65525693,39.32170527
242066,Platanus x acerifolia,"planetree, London",-76.65533964,39.32155082
242071,Cladrastis kentukea,yellowwood,-76.65653734,39.3199517
242073,Cladrastis kentukea,yellowwood,-76.65681257,39.32051601
242075,Robinia pseudoacacia,"locust, black",-76.65826836,39.32371451
242089,Zelkova serrata,"zelkova, Japanese",-76.6607844,39.32379086
242091,Platanus x acerifolia,"planetree, London",-76.66182828,39.32338985
242092,Platanus x acerifolia,"planetree, London",-76.66276735,39.32306662
242093,Platanus x acerifolia,"planetree, London",-76.66280515,39.32282116
242095,Platanus x acerifolia,"planetree, London",-76.66381195,39.32223095
242096,Platanus x acerifolia,"planetree, London",-76.66166429,39.32322548
242097,Ulmus americana,"elm, American",-76.65654468,39.32331704
242100,Fraxinus americana,"ash, white",-76.65661028,39.32345936
242102,Robinia pseudoacacia,"locust, black",-76.65701386,39.32196452
242103,Prunus spp.,"cherry/plum, spp.",-76.65590794,39.3228355
242111,Platanus x acerifolia,"planetree, London",-76.65523483,39.32159771
242113,Cladrastis kentukea,yellowwood,-76.65659438,39.31987117
242116,Acer platanoides,"maple, Norway",-76.65536888,39.3205171
242118,Cladrastis kentukea,yellowwood,-76.65691026,39.32064895
242133,Zelkova serrata,"zelkova, Japanese",-76.66087139,39.3237517
248730,Cercis canadensis,"redbud, eastern",-76.62096474,39.32022388
248733,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.61995508,39.31955219
248734,Ginkgo biloba,ginkgo,-76.62262232,39.31498534
248735,Robinia pseudoacacia,"locust, black",-76.62116439,39.31946283
248736,Acer saccharinum,"maple, silver",-76.62200388,39.31489082
248738,Acer saccharinum,"maple, silver",-76.62126707,39.31896195
248741,Tilia cordata,"linden, littleleaf",-76.62052765,39.3197574
248744,Tilia cordata,"linden, littleleaf",-76.62174909,39.31958143
248745,Betula nigra,"birch, river",-76.6215404,39.32010694
248755,Ginkgo biloba,ginkgo,-76.62068951,39.31789565
248759,Morus alba,"mulberry, white",-76.62099255,39.31863208
248760,Pyrus calleryana,"pear, callery",-76.621254,39.31613481
248761,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.62075511,39.31906952
248763,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.61999398,39.31763859
248764,Gleditsia triacanthos inermis,"honeylocust, thornless",-76.62160862,39.31907338
248765,Tilia cordata,"linden, littleleaf",-76.62114372,39.31621535
248773,Quercus rubra,"oak, northern red",-76.62107099,39.31838936
248775,Acer rubrum,"maple, red",-76.62086207,39.32027647
248776,Aesculus x carnea,"horsechestnut, red",-76.61996079,39.31991516
248781,Salix nigra,"willow, black",-76.62156988,39.32009738
248783,Tilia cordata,"linden, littleleaf",-76.6218085,39.31965204
249518,Quercus rubra,"oak, northern red",-76.62210203,39.32004632
249519,Liriodendron tulipifera,tuliptree,-76.6220621,39.31997902
249521,Nyssa sylvatica,blackgum,-76.62239723,39.3204148
249522,Acer platanoides,"maple, Norway",-76.62211273,39.32085223
250736,Zelkova serrata,"zelkova, Japanese",-76.62305298,39.31936494
250737,Zelkova serrata,"zelkova, Japanese",-76.6226765,39.32044906
250739,Acer rubrum,"maple, red",-76.62335674,39.3194532
250740,Tilia cordata,"linden, littleleaf",-76.62366524,39.31964112
250741,Cercis canadensis,"redbud, eastern",-76.62359537,39.31974336
250742,Pyrus calleryana,"pear, callery",-76.62305869,39.31889422
250743,Tilia cordata,"linden, littleleaf",-76.62343184,39.31934288
250744,Tilia cordata,"linden, littleleaf",-76.62259093,39.31832126
250748,Pyrus calleryana,"pear, callery",-76.62308364,39.32346868
250752,Cornus florida,"dogwood, flowering",-76.62330659,39.32370844
250760,Liquidambar styraciflua,"sweetgum, American",-76.62067358,39.32378456
250762,Zelkova serrata,"zelkova, Japanese",-76.62295981,39.31927558
250763,Liquidambar styraciflua,"sweetgum, American",-76.62024053,39.32323517
250765,Pyrus calleryana,"pear, callery",-76.62223584,39.31984375
250768,Acer rubrum,"maple, red",-76.62245165,39.31952455
