collection_date,latitude,longitude,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
2011-11-09,39.263507,-76.623106,20.0,
2011-11-09,39.248491,-76.610539,10.0,
2011-11-09,39.25579,-76.610105,20.0,
2011-11-16,39.283701,-76.603718,1370.0,
2011-11-16,39.276857,-76.596738,0.0,
2011-11-16,39.276674,-76.573921,50.0,
2011-11-16,39.276674,-76.573921,120.0,
2011-11-22,39.262607,-76.575771,0.0,
2011-11-22,39.263507,-76.623106,560.0,
2011-11-22,39.248491,-76.610539,40.0,
2011-11-22,39.25579,-76.610105,110.0,
2011-11-30,39.283701,-76.603718,470.0,
2011-11-30,39.276857,-76.596738,640.0,
2011-11-30,39.276674,-76.573921,50.0,
2012-04-04,39.283701,-76.603718,250.0,
2012-04-04,39.276857,-76.596738,0.0,
2012-04-04,39.276674,-76.573921,10.0,
2012-04-11,39.262607,-76.575771,10.0,
2012-04-11,39.263507,-76.623106,0.0,
2012-04-11,39.248491,-76.610539,0.0,
2012-04-11,39.25579,-76.610105,10.0,
2012-04-18,39.283701,-76.603718,140.0,
2012-04-18,39.276857,-76.596738,20.0,
2012-04-18,39.276674,-76.573921,0.0,
2012-04-25,39.262607,-76.575771,10.0,
2012-04-25,39.263507,-76.623106,50.0,
2012-04-25,39.248491,-76.610539,20.0,
2012-04-25,39.25579,-76.610105,20.0,
2012-05-02,39.283701,-76.603718,320.0,
2012-05-02,39.276857,-76.596738,20.0,
2012-05-02,39.276674,-76.573921,60.0,
2012-05-09,39.262607,-76.575771,10.0,
2012-05-09,39.263507,-76.623106,2250.0,
2012-05-09,39.248491,-76.610539,130.0,
2012-05-09,39.25579,-76.610105,130.0,
2012-05-16,39.283701,-76.603718,2100.0,
2012-05-16,39.276857,-76.596738,260.0,
2012-05-16,39.276674,-76.573921,200.0,
2012-05-23,39.262607,-76.575771,0.0,
2012-05-23,39.263507,-76.623106,20.0,
2012-05-23,39.248491,-76.610539,100.0,
2012-05-23,39.25579,-76.610105,170.0,
2012-05-29,39.283701,-76.603718,180.0,
2012-05-29,39.276857,-76.596738,10.0,
2012-05-29,39.276674,-76.573921,0.0,
2012-06-06,39.283701,-76.603718,170.0,
2012-06-06,39.276857,-76.596738,130.0,
2012-06-06,39.276674,-76.573921,10.0,
2012-06-13,39.262607,-76.575771,100.0,
2012-06-13,39.263507,-76.623106,2490.0,
2012-06-13,39.248491,-76.610539,1550.0,
2012-06-13,39.25579,-76.610105,150.0,
2012-06-20,39.262607,-76.575771,0.0,
2012-06-20,39.263507,-76.623106,10.0,
2012-06-20,39.248491,-76.610539,30.0,
2012-06-20,39.25579,-76.610105,30.0,
2012-06-27,39.283701,-76.603718,60.0,
2012-06-27,39.276857,-76.596738,30.0,
2012-06-27,39.276674,-76.573921,10.0,
2012-07-03,39.262607,-76.575771,10.0,
2012-07-03,39.263507,-76.623106,160.0,
2012-07-03,39.248491,-76.610539,320.0,
2012-07-03,39.25579,-76.610105,50.0,
2012-07-11,39.283701,-76.603718,270.0,
2012-07-11,39.276857,-76.596738,0.0,
2012-07-11,39.276674,-76.573921,40.0,
2012-07-18,39.262607,-76.575771,10.0,
2012-07-18,39.263507,-76.623106,20.0,
2012-07-18,39.248491,-76.610539,40.0,
2012-07-18,39.25579,-76.610105,0.0,
2012-07-25,39.262607,-76.575771,30.0,
2012-07-25,39.263507,-76.623106,20.0,
2012-07-25,39.248491,-76.610539,10.0,
2012-07-25,39.25579,-76.610105,0.0,
2012-08-01,39.283701,-76.603718,130.0,
2012-08-01,39.276857,-76.596738,40.0,
2012-08-01,39.276674,-76.573921,500.0,
2012-08-08,39.262607,-76.575771,20.0,
2012-08-08,39.263507,-76.623106,10.0,
2012-08-08,39.248491,-76.610539,20.0,
2012-08-08,39.25579,-76.610105,0.0,
2012-08-15,39.283701,-76.603718,24200.0,
2012-08-15,39.276857,-76.596738,24200.0,
2012-08-15,39.276674,-76.573921,3870.0,
2012-08-22,39.262607,-76.575771,20.0,
2012-08-22,39.263507,-76.623106,0.0,
2012-08-22,39.248491,-76.610539,30.0,
2012-08-22,39.25579,-76.610105,0.0,
2012-08-29,39.283701,-76.603718,1160.0,
2012-08-29,39.276857,-76.596738,100.0,
2012-08-29,39.276674,-76.573921,60.0,
2012-09-05,39.262607,-76.575771,0.0,
2012-09-05,39.263507,-76.623106,30.0,
2012-09-05,39.248491,-76.610539,10.0,
2012-09-05,39.25579,-76.610105,10.0,
2012-09-12,39.283701,-76.603718,300.0,
2012-09-12,39.276857,-76.596738,30.0,
2012-09-12,39.276674,-76.573921,0.0,
2012-09-19,39.262607,-76.575771,1650.0,
2012-09-19,39.263507,-76.623106,2010.0,
2012-09-19,39.248491,-76.610539,2010.0,
2012-09-19,39.25579,-76.610105,2010.0,
2012-09-26,39.283701,-76.603718,1720.0,
2012-09-26,39.276857,-76.596738,130.0,
2012-09-26,39.276674,-76.573921,4350.0,
2012-10-03,39.262607,-76.575771,4610.0,
2012-10-03,39.263507,-76.623106,7700.0,
2012-10-03,39.248491,-76.610539,15530.0,
2012-10-03,39.25579,-76.610105,5480.0,
2012-10-10,39.283701,-76.603718,80.0,
2012-10-10,39.276857,-76.596738,20.0,
2012-10-10,39.276674,-76.573921,10.0,
2012-10-24,39.262607,-76.575771,10.0,
2012-10-24,39.263507,-76.623106,30.0,
2012-10-24,39.248491,-76.610539,10.0,
2012-10-24,39.25579,-76.610105,10.0,
2012-10-31,39.283701,-76.603718,8160.0,
2012-10-31,39.276857,-76.596738,19860.0,
2012-10-31,39.276674,-76.573921,15530.0,
2012-11-07,39.262607,-76.575771,50.0,
2012-11-07,39.263507,-76.623106,20.0,
2012-11-07,39.248491,-76.610539,40.0,
2012-11-07,39.25579,-76.610105,0.0,
2012-11-14,39.283701,-76.603718,480.0,
2012-11-14,39.276857,-76.596738,110.0,
2012-11-14,39.276674,-76.573921,40.0,
2012-11-28,39.262607,-76.575771,150.0,
2012-11-28,39.263507,-76.623106,250.0,
2012-11-28,39.25579,-76.610105,200.0,
2013-04-03,39.254541,-76.573837,,
2013-04-03,39.235341,-76.555953,,
2013-04-03,39.283701,-76.603718,,
2013-04-03,39.276857,-76.596738,,
2013-04-03,39.276491,-76.584021,,
2013-04-03,39.276674,-76.573921,,
2013-04-03,39.262607,-76.575771,,
2013-04-03,39.263507,-76.623106,,
2013-04-03,39.248491,-76.610539,,
2013-04-03,39.25579,-76.610105,,
2013-04-03,39.254674,-76.594605,,
2013-04-10,39.153209,-76.507068,,
2013-04-10,39.160976,-76.528152,,
2013-04-10,39.213125,-76.4534,,
2013-04-10,39.175159,-76.523868,,
2013-04-10,39.246741,-76.491001,,
2013-04-10,39.223374,-76.56862,,
2013-04-10,39.187325,-76.494584,,
2013-04-10,39.181426,-76.458249,,
2013-04-10,39.197375,-76.574604,,
2013-04-10,39.126776,-76.445482,,
2013-04-17,39.254541,-76.573837,,
2013-04-17,39.235341,-76.555953,,
2013-04-17,39.283701,-76.603718,,
2013-04-17,39.276857,-76.596738,,
2013-04-17,39.276491,-76.584021,,
2013-04-17,39.276674,-76.573921,,
2013-04-17,39.262607,-76.575771,,
2013-04-17,39.263507,-76.623106,,
2013-04-17,39.248491,-76.610539,,
2013-04-17,39.25579,-76.610105,,
2013-04-17,39.254674,-76.594605,,
2013-04-24,39.153209,-76.507068,,
2013-04-24,39.160976,-76.528152,,
2013-04-24,39.213125,-76.4534,,
2013-04-24,39.175159,-76.523868,,
2013-04-24,39.246741,-76.491001,,
2013-04-24,39.223374,-76.56862,,
2013-04-24,39.181426,-76.458249,,
2013-04-24,39.197375,-76.574604,,
2013-04-24,39.126776,-76.445482,,
2013-05-01,39.254541,-76.573837,0.0,
2013-05-01,39.283701,-76.603718,600.0,
2013-05-01,39.276857,-76.596738,200.0,
2013-05-01,39.276491,-76.584021,100.0,
2013-05-01,39.276674,-76.573921,0.0,
2013-05-01,39.262607,-76.575771,0.0,
2013-05-01,39.263507,-76.623106,0.0,
2013-05-01,39.248491,-76.610539,0.0,
