year,month,latitude,longitude,predicted_value,data_type
2009,5,39.126776,-76.623106,523.7150546898744,predicted
2009,5,39.13503521052632,-76.623106,438.0533451728634,predicted
2009,5,39.14329442105263,-76.623106,367.3794474658807,predicted
2009,5,39.15155363157895,-76.623106,311.54535351554114,predicted
2009,5,39.15981284210526,-76.623106,270.4772840824252,predicted
2009,5,39.16807205263158,-76.623106,244.21980821150333,predicted
2009,5,39.17633126315789,-76.623106,232.96496774788383,predicted
2009,5,39.18459047368421,-76.623106,237.03637080388984,predicted
2009,5,39.19284968421053,-76.623106,256.79670786163683,predicted
2009,5,39.20110889473684,-76.623106,292.46794335132813,predicted
2009,5,39.20936810526316,-76.623106,343.85595646765836,predicted
2009,5,39.21762731578947,-76.623106,409.79125304466663,predicted
2009,5,39.22588652631579,-76.623106,486.3877557545165,predicted
2009,5,39.23414573684211,-76.623106,561.005691571017,predicted
2009,5,39.24240494736842,-76.623106,594.3257844461793,predicted
2009,5,39.25066415789474,-76.623106,509.2684053844939,predicted
2009,5,39.25892336842105,-76.623106,374.78659558370185,predicted
2009,5,39.26718257894737,-76.623106,1260.9698977357225,predicted
2009,5,39.27544178947368,-76.623106,3277.862660191878,predicted
2009,5,39.283701,-76.623106,4920.721423471696,predicted
2009,5,39.126776,-76.61375736842106,503.63102984247706,predicted
2009,5,39.13503521052632,-76.61375736842106,416.7177896766102,predicted
2009,5,39.14329442105263,-76.61375736842106,345.1109068671834,predicted
2009,5,39.15155363157895,-76.61375736842106,288.63481835552284,predicted
2009,5,39.15981284210526,-76.61375736842106,247.2228090878982,predicted
2009,5,39.16807205263158,-76.61375736842106,221.0154967014385,predicted
2009,5,39.17633126315789,-76.61375736842106,210.470793908415,predicted
2009,5,39.18459047368421,-76.61375736842106,216.4387950067429,predicted
2009,5,39.19284968421053,-76.61375736842106,240.13182765694398,predicted
2009,5,39.20110889473684,-76.61375736842106,282.9928266901542,predicted
2009,5,39.20936810526316,-76.61375736842106,346.6980978473889,predicted
2009,5,39.21762731578947,-76.61375736842106,433.6610929463469,predicted
2009,5,39.22588652631579,-76.61375736842106,548.0540006786937,predicted
2009,5,39.23414573684211,-76.61375736842106,696.6448483154602,predicted
2009,5,39.24240494736842,-76.61375736842106,883.4920719595742,predicted
2009,5,39.25066415789474,-76.61375736842106,883.1846205664951,predicted
2009,5,39.25892336842105,-76.61375736842106,825.2976790465001,predicted
2009,5,39.26718257894737,-76.61375736842106,1967.7239144461664,predicted
2009,5,39.27544178947368,-76.61375736842106,4157.240848781873,predicted
2009,5,39.283701,-76.61375736842106,6304.758056635677,predicted
2009,5,39.126776,-76.60440873684212,482.97126882243634,predicted
2009,5,39.13503521052632,-76.60440873684212,394.89308528592437,predicted
2009,5,39.14329442105263,-76.60440873684212,322.4557561234168,predicted
2009,5,39.15155363157895,-76.60440873684212,265.3888295688569,predicted
2009,5,39.15981284210526,-76.60440873684212,223.52481081230945,predicted
2009,5,39.16807205263158,-76.60440873684212,196.95652817598494,predicted
2009,5,39.17633126315789,-76.60440873684212,186.2645148935668,predicted
2009,5,39.18459047368421,-76.60440873684212,192.76141453821683,predicted
2009,5,39.19284968421053,-76.60440873684212,218.55063604640046,predicted
2009,5,39.20110889473684,-76.60440873684212,266.127300785333,predicted
2009,5,39.20936810526316,-76.60440873684212,337.9292554166316,predicted
2009,5,39.21762731578947,-76.60440873684212,437.1990671507355,predicted
2009,5,39.22588652631579,-76.60440873684212,570.3603437981585,predicted
2009,5,39.23414573684211,-76.60440873684212,748.0502567259269,predicted
2009,5,39.24240494736842,-76.60440873684212,967.2287550401928,predicted
2009,5,39.25066415789474,-76.60440873684212,1050.8961455837268,predicted
2009,5,39.25892336842105,-76.60440873684212,1114.326791114501,predicted
2009,5,39.26718257894737,-76.60440873684212,1914.8326508430746,predicted
2009,5,39.27544178947368,-76.60440873684212,3996.0312531508166,predicted
2009,5,39.283701,-76.60440873684212,8241.261998796625,predicted
2009,5,39.126776,-76.59506010526316,462.20074408296955,predicted
2009,5,39.13503521052632,-76.59506010526316,373.10063180265956,predicted
2009,5,39.14329442105263,-76.59506010526316,300.0297340090698,predicted
2009,5,39.15155363157895,-76.59506010526316,242.54120750677555,predicted
2009,5,39.15981284210526,-76.59506010526316,200.2046317241083,predicted
2009,5,39.16807205263158,-76.59506010526316,172.79043493791977,predicted
2009,5,39.17633126315789,-76.59506010526316,160.61480866575388,predicted
2009,5,39.18459047368421,-76.59506010526316,165.10115255805925,predicted
2009,5,39.19284968421053,-76.59506010526316,189.33146138841096,predicted
2009,5,39.20110889473684,-76.59506010526316,237.15088738623768,predicted
2009,5,39.20936810526316,-76.59506010526316,309.9984549030678,predicted
2009,5,39.21762731578947,-76.59506010526316,406.7630460744923,predicted
2009,5,39.22588652631579,-76.59506010526316,527.5165592469612,predicted
2009,5,39.23414573684211,-76.59506010526316,673.6843039611725,predicted
2009,5,39.24240494736842,-76.59506010526316,839.0789442580977,predicted
2009,5,39.25066415789474,-76.59506010526316,1019.8681017990851,predicted
2009,5,39.25892336842105,-76.59506010526316,1035.3098277902936,predicted
2009,5,39.26718257894737,-76.59506010526316,1033.7896299592057,predicted
2009,5,39.27544178947368,-76.59506010526316,1292.8767907950455,predicted
2009,5,39.283701,-76.59506010526316,4199.227481092178,predicted
2009,5,39.126776,-76.58571147368421,441.6647400119391,predicted
2009,5,39.13503521052632,-76.58571147368421,351.757690486688,predicted
2009,5,39.14329442105263,-76.58571147368421,278.4179189342968,predicted
2009,5,39.15155363157895,-76.58571147368421,220.9751699422544,predicted
