latitude,longitude,year,month,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,Enterococcus Bacteria (MPN/100mL) - BWB Lab
39.153209,-76.507068,2010,6,18.92567396543056,
39.153209,-76.507068,2010,7,44.98009999698804,
39.153209,-76.507068,2010,8,3.8521033767213733,
39.153209,-76.507068,2010,9,3.5031938821412507,
39.153209,-76.507068,2010,10,31.308555561509426,
39.153209,-76.507068,2010,11,8.668101715254194,
39.153209,-76.507068,2010,12,9.7054698457223,
39.153209,-76.507068,2011,4,44.99639395988281,
39.153209,-76.507068,2011,5,36.343059167618044,
39.153209,-76.507068,2011,6,11.500410880532582,
39.153209,-76.507068,2011,7,37.04012120350803,
39.153209,-76.507068,2011,8,3.9279381248820977,
39.153209,-76.507068,2011,9,3.3060953666216824,
39.153209,-76.507068,2011,10,28.076130639802813,
39.153209,-76.507068,2011,11,8.784216939758888,
39.153209,-76.507068,2011,12,9.73352033660589,
39.153209,-76.507068,2012,4,58.22108698737051,
39.153209,-76.507068,2012,5,24.99888246291222,
39.153209,-76.507068,2012,6,20.506995371092735,
39.153209,-76.507068,2012,7,36.94053477616394,
39.153209,-76.507068,2012,8,3.8754951895868706,
39.153209,-76.507068,2012,9,3.718518518518519,
39.153209,-76.507068,2012,10,37.039378148108455,
39.153209,-76.507068,2012,11,8.799850928142416,
39.153209,-76.507068,2012,12,9.887798036465638,
39.153209,-76.507068,2013,4,43.97541507024266,
39.153209,-76.507068,2013,5,35.36821761499972,
39.153209,-76.507068,2013,6,16.85046029021688,
39.153209,-76.507068,2013,7,45.846936669519316,
39.153209,-76.507068,2013,8,3.988681380871534,
39.153209,-76.507068,2013,9,3.8047983205877944,
39.153209,-76.507068,2013,10,28.308447647626192,
39.153209,-76.507068,2013,11,8.83256323182839,
39.153209,-76.507068,2013,12,9.670406732117813,
39.153209,-76.507068,2014,4,43.17193486590038,
39.153209,-76.507068,2014,5,34.82595889216662,
39.153209,-76.507068,2014,6,14.605970770270973,
39.153209,-76.507068,2014,7,45.07028234297845,
39.153209,-76.507068,2014,8,3.9400113186191286,
39.153209,-76.507068,2014,9,3.462438146648673,
39.153209,-76.507068,2014,10,39.53458900439396,
39.153209,-76.507068,2014,11,8.747657221325317,
39.153209,-76.507068,2014,12,9.754558204768582,
39.153209,-76.507068,2015,4,49.6749680715198,
39.153209,-76.507068,2015,5,35.54886571570715,
39.153209,-76.507068,2015,6,11.822797801702468,
39.153209,-76.507068,2015,7,47.030517703615985,
39.153209,-76.507068,2015,8,3.9113374834936807,
39.153209,-76.507068,2015,9,3.477552856500225,
39.153209,-76.507068,2015,10,41.030206956501026,
39.153209,-76.507068,2015,11,8.496981449522785,
39.153209,-76.507068,2015,12,9.761570827489482,
39.153209,-76.507068,2016,4,52.48190719455087,
39.153209,-76.507068,2016,5,28.15525794395046,
39.153209,-76.507068,2016,6,18.805273833671396,
39.153209,-76.507068,2016,7,27.303267807302205,
39.153209,-76.507068,2016,8,4.049801924165252,
39.153209,-76.507068,2016,9,4.0382301908617695,
39.153209,-76.507068,2016,10,34.52674552566713,
39.153209,-76.507068,2016,11,8.779249939690846,
39.153209,-76.507068,2016,12,9.859747545582048,
39.153209,-76.507068,2017,4,40.76979565772669,
39.153209,-76.507068,2017,5,35.240117543539256,
39.153209,-76.507068,2017,6,15.246344550198504,
39.153209,-76.507068,2017,7,45.00853852563779,
39.153209,-76.507068,2017,8,4.044519901905301,
39.153209,-76.507068,2017,9,3.4428699955015745,
39.153209,-76.507068,2017,10,29.077791769370915,
