year,month,latitude,longitude,Enterococcus Bacteria (MPN/100mL) - A2LA Lab,data_type
2009,5,39.126776,-76.623106,119.45364870108841,predicted
2009,5,39.13503521052632,-76.623106,119.44551251748838,predicted
2009,5,39.14329442105263,-76.623106,119.41920199034925,predicted
2009,5,39.15155363157895,-76.623106,119.3492097138051,predicted
2009,5,39.15981284210526,-76.623106,119.19810720695966,predicted
2009,5,39.16807205263158,-76.623106,118.93914478557173,predicted
2009,5,39.17633126315789,-76.623106,118.59475799289321,predicted
2009,5,39.18459047368421,-76.623106,118.19307982359089,predicted
2009,5,39.19284968421053,-76.623106,117.33104429109773,predicted
2009,5,39.20110889473684,-76.623106,113.83157754455863,predicted
2009,5,39.20936810526316,-76.623106,101.57608473587166,predicted
2009,5,39.21762731578947,-76.623106,70.28066124557125,predicted
2009,5,39.22588652631579,-76.623106,13.466463639653398,predicted
2009,5,39.23414573684211,-76.623106,-52.909751397392796,predicted
2009,5,39.24240494736842,-76.623106,-76.76971512033703,predicted
2009,5,39.25066415789474,-76.623106,8.077564437297049,predicted
2009,5,39.25892336842105,-76.623106,219.36818349997372,predicted
2009,5,39.26718257894737,-76.623106,479.7107555437001,predicted
2009,5,39.27544178947368,-76.623106,654.8921345326733,predicted
2009,5,39.283701,-76.623106,658.8729169305573,predicted
2009,5,39.126776,-76.61375736842106,119.4482691160315,predicted
2009,5,39.13503521052632,-76.61375736842106,119.4243913374216,predicted
2009,5,39.14329442105263,-76.61375736842106,119.34779978373373,predicted
2009,5,39.15155363157895,-76.61375736842106,119.14417512243384,predicted
2009,5,39.15981284210526,-76.61375736842106,118.70116855510858,predicted
2009,5,39.16807205263158,-76.61375736842106,117.92347015750147,predicted
2009,5,39.17633126315789,-76.61375736842106,116.82952582129914,predicted
2009,5,39.18459047368421,-76.61375736842106,115.49116550669206,predicted
2009,5,39.19284968421053,-76.61375736842106,113.29345274705418,predicted
2009,5,39.20110889473684,-76.61375736842106,106.85320541617415,predicted
2009,5,39.20936810526316,-76.61375736842106,87.11365489973633,predicted
2009,5,39.21762731578947,-76.61375736842106,40.14739237031029,predicted
2009,5,39.22588652631579,-76.61375736842106,-39.43054352097679,predicted
2009,5,39.23414573684211,-76.61375736842106,-120.5270857381465,predicted
2009,5,39.24240494736842,-76.61375736842106,-118.32789936462464,predicted
2009,5,39.25066415789474,-76.61375736842106,66.82555389960987,predicted
2009,5,39.25892336842105,-76.61375736842106,451.09475174029774,predicted
2009,5,39.26718257894737,-76.61375736842106,898.5552830307793,predicted
2009,5,39.27544178947368,-76.61375736842106,1187.2182376645078,predicted
2009,5,39.283701,-76.61375736842106,1178.0214751159801,predicted
2009,5,39.126776,-76.60440873684212,119.43494792977287,predicted
2009,5,39.13503521052632,-76.60440873684212,119.37721419814218,predicted
2009,5,39.14329442105263,-76.60440873684212,119.19705572611593,predicted
2009,5,39.15155363157895,-76.60440873684212,118.72349727527407,predicted
2009,5,39.15981284210526,-76.60440873684212,117.69546865115288,predicted
2009,5,39.16807205263158,-76.60440873684212,115.88140340628033,predicted
2009,5,39.17633126315789,-76.60440873684212,113.30346273624019,predicted
2009,5,39.18459047368421,-76.60440873684212,110.22195090153645,predicted
2009,5,39.19284968421053,-76.60440873684212,106.09928144200805,predicted
2009,5,39.20110889473684,-76.60440873684212,96.81250452649348,predicted
2009,5,39.20936810526316,-76.60440873684212,71.21194376149671,predicted
2009,5,39.21762731578947,-76.60440873684212,12.998078097317382,predicted
2009,5,39.22588652631579,-76.60440873684212,-81.69057429390318,predicted
2009,5,39.23414573684211,-76.60440873684212,-170.1805457223205,predicted
2009,5,39.24240494736842,-76.60440873684212,-144.4933233239056,predicted
2009,5,39.25066415789474,-76.60440873684212,117.7535972625418,predicted
2009,5,39.25892336842105,-76.60440873684212,631.1010092646179,predicted
2009,5,39.26718257894737,-76.60440873684212,1218.9246857856974,predicted
2009,5,39.27544178947368,-76.60440873684212,1597.2026404227374,predicted
2009,5,39.283701,-76.60440873684212,1586.5379500100444,predicted
2009,5,39.126776,-76.59506010526316,119.40036670448544,predicted
2009,5,39.13503521052632,-76.59506010526316,119.2783543225685,predicted
2009,5,39.14329442105263,-76.59506010526316,118.92582815230277,predicted
2009,5,39.15155363157895,-76.59506010526316,118.03298716235926,predicted
2009,5,39.15981284210526,-76.59506010526316,116.12507559690141,predicted
2009,5,39.16807205263158,-76.59506010526316,112.7756420620845,predicted
2009,5,39.17633126315789,-76.59506010526316,108.03184753399569,predicted
2009,5,39.18459047368421,-76.59506010526316,102.5454681622611,predicted
2009,5,39.19284968421053,-76.59506010526316,96.3759178561912,predicted
2009,5,39.20110889473684,-76.59506010526316,85.75802260498304,predicted
2009,5,39.20936810526316,-76.59506010526316,59.41108561056846,predicted
2009,5,39.21762731578947,-76.59506010526316,0.7021966841044645,predicted
2009,5,39.22588652631579,-76.59506010526316,-94.52776876571149,predicted
2009,5,39.23414573684211,-76.59506010526316,-184.51682083497488,predicted
2009,5,39.24240494736842,-76.59506010526316,-163.4173047704154,predicted
2009,5,39.25066415789474,-76.59506010526316,89.70430258965047,predicted
2009,5,39.25892336842105,-76.59506010526316,592.576702955281,predicted
2009,5,39.26718257894737,-76.59506010526316,1176.849148918046,predicted
2009,5,39.27544178947368,-76.59506010526316,1565.1725688216588,predicted
2009,5,39.283701,-76.59506010526316,1575.5322168388934,predicted
2009,5,39.126776,-76.58571147368421,119.29575655415826,predicted
2009,5,39.13503521052632,-76.58571147368421,119.0422339000742,predicted
2009,5,39.14329442105263,-76.58571147368421,118.42458454652927,predicted
